ID,Рівень 1,Рівень 2,Рівень 3,Рівень 4,Рівень 5,"Категорія останнього рівня, (для використання в атрибутах)",Роялті
3318,Канцтовари,Офісне приладдя,Біндери,,,Біндери,
9018,Канцтовари,Офісне приладдя,Диспенсери для скотчу,,,Диспенсери для скотчу,
1881,Канцтовари,Офісне приладдя,Діркопробивачі,,,Діркопробивачі,
1909,Канцтовари,Офісне приладдя,Канцелярська клейка стрічка,,,Канцелярська клейка стрічка,
3319,Канцтовари,Офісне приладдя,Канцелярські кнопки,,,Канцелярські кнопки,
1900,Канцтовари,Офісне приладдя,Канцелярські ножиці,,,Канцелярські ножиці,
1884,Канцтовари,Офісне приладдя,Канцелярські ножі,,,Канцелярські ножі,
1886,Канцтовари,Офісне приладдя,Клей канцелярський,,,Клей канцелярський,
1895,Канцтовари,Офісне приладдя,Лупи,,,Лупи,
3320,Канцтовари,Офісне приладдя,Резинки для грошей,,,Резинки для грошей,
1874,Канцтовари,Офісне приладдя,Скоби,,,Скоби,
1910,Канцтовари,Офісне приладдя,Скріпки,,,Скріпки,
1911,Канцтовари,Офісне приладдя,Степлери,,,Степлери,
1878,Канцтовари,Паперова продукція,Бланки,,,Бланки,
1871,Канцтовари,Паперова продукція,Блокноти,,,Блокноти,
1915,Канцтовари,Паперова продукція,Етикетки,,,Етикетки,
8101,Канцтовари,Паперова продукція,Календарі,,,Календарі,
1875,Канцтовари,Паперова продукція,Конверти,,,Конверти,
1901,Канцтовари,Паперова продукція,Офісний папір,,,Офісний папір,
4898,Канцтовари,Паперова продукція,Офісні щоденники,,,Офісні щоденники,
1870,Канцтовари,Паперова продукція,Папір для нотаток,,,Папір для нотаток,
1902,Канцтовари,Паперова продукція,Папір спеціальний,,,Папір спеціальний,
7671,Канцтовари,Паперова продукція,Планери,,,Планери,
8733,Канцтовари,Періодичні видання,,,,Періодичні видання,
3321,Канцтовари,Письмове приладдя,Гумки,,,Гумки,
1890,Канцтовари,Письмове приладдя,Коректори,,,Коректори,
1893,Канцтовари,Письмове приладдя,Лінійки,,,Лінійки,
1897,Канцтовари,Письмове приладдя,Маркери,,,Маркери,
1885,Канцтовари,Письмове приладдя,Олівці,,,Олівці,
1908,Канцтовари,Письмове приладдя,Письмові ручки,,,Письмові ручки,
5519,Канцтовари,Письмове приладдя,Стержні та чорнила,,,Стержні та чорнила,
1912,Канцтовари,Письмове приладдя,Чинки для олівців,,,Чинки для олівців,
6507,Канцтовари,Преміум-канцелярія,Блокноти і записні книги преміум,,,Блокноти і записні книги преміум,
1907,Канцтовари,Преміум-канцелярія,Подарункові настільні набори,,,Подарункові настільні набори,
1425,Канцтовари,Преміум-канцелярія,Подарункові ручки,,,Подарункові ручки,
1868,Канцтовари,Приладдя для діловодства,Бейджі,,,Бейджі,
1872,Канцтовари,Приладдя для діловодства,Бокси для архівації,,,Бокси для архівації,
1876,Канцтовари,Приладдя для діловодства,Візитниці,,,Візитниці,
1882,Канцтовари,Приладдя для діловодства,Індексні розділювачі,,,Індексні розділювачі,
1903,Канцтовари,Приладдя для діловодства,Папки,,,Папки,
1914,Канцтовари,Приладдя для діловодства,Файли,,,Файли,
9226,Канцтовари,Рукоділля та творчість,Аксесуари для рукоділля,Нитки,,Нитки,
3474,Канцтовари,Рукоділля та творчість,Аксесуари для рукоділля,"Органайзери, бокси та коробки",,"Органайзери, бокси та коробки",
3467,Канцтовари,Рукоділля та творчість,Аксесуари для рукоділля,Швейна фурнітура,,Швейна фурнітура,
3341,Канцтовари,Рукоділля та творчість,Аплікація,,,Аплікація,
9430,Канцтовари,Рукоділля та творчість,Все для бісероплетіння,Бісер,,Бісер,
3451,Канцтовари,Рукоділля та творчість,Все для бісероплетіння,Набори для бісероплетіння,,Набори для бісероплетіння,
9432,Канцтовари,Рукоділля та творчість,Все для бісероплетіння,Станки для бісероплетіння,,Станки для бісероплетіння,
8574,Канцтовари,Рукоділля та творчість,В'язання,Гачки для в'язання,,Гачки для в'язання,
3427,Канцтовари,Рукоділля та творчість,В'язання,Пряжа,,Пряжа,
8612,Канцтовари,Рукоділля та творчість,В'язання,Спиці для в'язання,,Спиці для в'язання,
3408,Канцтовари,Рукоділля та творчість,Валяння,Набори для валяння,,Набори для валяння,
5413,Канцтовари,Рукоділля та творчість,Виготовлення свічок,Ароматизатори для виготовлення  свічок,,Ароматизатори для виготовлення  свічок,
1519,Канцтовари,Рукоділля та творчість,Виготовлення свічок,Барвники для виготовлення свічок,,Барвники для виготовлення свічок,
1393,Канцтовари,Рукоділля та творчість,Виготовлення свічок,Віск для виготовлення свічок,,Віск для виготовлення свічок,
3665,Канцтовари,Рукоділля та творчість,Виготовлення свічок,Ґноти для виготовлення свічок,,Ґноти для виготовлення свічок,
6345,Канцтовари,Рукоділля та творчість,Виготовлення свічок,Комплектуючі для виготовлення свічок,,Комплектуючі для виготовлення свічок,
6050,Канцтовари,Рукоділля та творчість,Виготовлення свічок,Набори для виготовлення свічок,,Набори для виготовлення свічок,
3137,Канцтовари,Рукоділля та творчість,Виготовлення свічок,Усе для виготовлення гелевих свічок,,Усе для виготовлення гелевих свічок,
3678,Канцтовари,Рукоділля та творчість,Виготовлення свічок,Форми для виготовлення  свічок,,Форми для виготовлення  свічок,
3393,Канцтовари,Рукоділля та творчість,Вишивка,Алмазна мозаїка,,Алмазна мозаїка,
8922,Канцтовари,Рукоділля та творчість,Вишивка,Інструменти для алмазної мозаїки,,Інструменти для алмазної мозаїки,
3390,Канцтовари,Рукоділля та творчість,Вишивка,Вишивка бісером,,Вишивка бісером,
8613,Канцтовари,Рукоділля та творчість,Вишивка,Заготовки для вишивки,,Заготовки для вишивки,
3396,Канцтовари,Рукоділля та творчість,Вишивка,Набори для вишивання,,Набори для вишивання,
3392,Канцтовари,Рукоділля та творчість,Вишивка,Набори для вишивання хрестиком,,Набори для вишивання хрестиком,
8255,Канцтовари,Рукоділля та творчість,Графіка та аерографія,Лінери,,Лінери,
3333,Канцтовари,Рукоділля та творчість,Графіка та аерографія,Папір для креслення,,Папір для креслення,
3489,Канцтовари,Рукоділля та творчість,Графіка та аерографія,Пастель для творчості,,Пастель для творчості,
3337,Канцтовари,Рукоділля та творчість,Графіка та аерографія,Туш і чорнила для креслення,,Туш і чорнила для креслення,
3382,Канцтовари,Рукоділля та творчість,Декупаж,Заготовки для декупажу,,Заготовки для декупажу,
3388,Канцтовари,Рукоділля та творчість,Декупаж,Заготовки для листівок,,Заготовки для листівок,
3386,Канцтовари,Рукоділля та творчість,Декупаж,Карти для декупажу,,Карти для декупажу,
3384,Канцтовари,Рукоділля та творчість,Декупаж,"Клеї, лаки та медіуми для декупажу",,"Клеї, лаки та медіуми для декупажу",
3385,Канцтовари,Рукоділля та творчість,Декупаж,Набори для декупажу,,Набори для декупажу,
3491,Канцтовари,Рукоділля та творчість,Декупаж,Набори для кардмейкінгу,,Набори для кардмейкінгу,
3380,Канцтовари,Рукоділля та творчість,Декупаж,Папір для декупажу,,Папір для декупажу,
3351,Канцтовари,Рукоділля та творчість,Живопис та малювання,Аксесуари для малювання,,Аксесуари для малювання,
3343,Канцтовари,Рукоділля та творчість,Живопис та малювання,Картини за номерами,,Картини за номерами,
3346,Канцтовари,Рукоділля та творчість,Живопис та малювання,Мольберти,,Мольберти,
3350,Канцтовари,Рукоділля та творчість,Живопис та малювання,Набори для малювання та живопису,,Набори для малювання та живопису,
3347,Канцтовари,Рукоділля та творчість,Живопис та малювання,Основа для живопису,,Основа для живопису,
3349,Канцтовари,Рукоділля та творчість,Живопис та малювання,Пензлі й мастихіни для малювання,,Пензлі й мастихіни для малювання,
3495,Канцтовари,Рукоділля та творчість,Живопис та малювання,Підрамники та багети,,Підрамники та багети,
3362,Канцтовари,Рукоділля та творчість,Ліплення та моделювання,Інструменти для ліплення та моделювання,,Інструменти для ліплення та моделювання,
3357,Канцтовари,Рукоділля та творчість,Ліплення та моделювання,Килимки для творчості,,Килимки для творчості,
3361,Канцтовари,Рукоділля та творчість,Ліплення та моделювання,Набори для ліплення та моделювання,,Набори для ліплення та моделювання,
3359,Канцтовари,Рукоділля та творчість,Ліплення та моделювання,Паста для моделювання,,Паста для моделювання,
3354,Канцтовари,Рукоділля та творчість,Ліплення та моделювання,Пластика для ліплення,,Пластика для ліплення,
8916,Канцтовари,Рукоділля та творчість,Малювання світлом,,,Малювання світлом,
8486,Канцтовари,Рукоділля та творчість,Матеріали для моделювання,,,Матеріали для моделювання,
3493,Канцтовари,Рукоділля та творчість,Миловаріння,Набори для миловаріння,,Набори для миловаріння,
3496,Канцтовари,Рукоділля та творчість,Набори для творчості,,,Набори для творчості,
3442,Канцтовари,Рукоділля та творчість,Оригамі,Набори для оригамі,,Набори для оригамі,
7611,Канцтовари,Рукоділля та творчість,Оригамі,Паперкрафт,,Паперкрафт,
3494,Канцтовари,Рукоділля та творчість,Розпис скла та кераміки,,,Розпис скла та кераміки,
3498,Канцтовари,Рукоділля та творчість,Розпис тканини,,,Розпис тканини,
7286,Канцтовари,Рукоділля та творчість,Скетчбуки,,,Скетчбуки,
3370,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Альбоми для скрапбукінгу,,Альбоми для скрапбукінгу,
3492,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Декоративні елементи,,Декоративні елементи,
8982,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Інструменти для ембосінгу,,Інструменти для ембосінгу,
3378,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Інструменти для скрапбукінгу та квілінгу,,Інструменти для скрапбукінгу та квілінгу,
9220,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Картон малярний,,Картон малярний,
3373,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Картон дизайнерський,,Картон дизайнерський,
3369,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Клей для творчості,,Клей для творчості,
3377,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Набори для квілінгу,,Набори для квілінгу,
3375,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Папір для квілінгу,,Папір для квілінгу,
3365,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Папір для скрапбукінгу,,Папір для скрапбукінгу,
3368,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Самоклеюча тканина та матеріали,,Самоклеюча тканина та матеріали,
3367,Канцтовари,Рукоділля та творчість,Скрапбукінг та квілінг,Штампи силіконові та чорнила,,Штампи силіконові та чорнила,
3497,Канцтовари,Рукоділля та творчість,Трафарети для творчості,,,Трафарети для творчості,
3460,Канцтовари,Рукоділля та творчість,Фарби для малювання,Акварельні фарби,,Акварельні фарби,
3461,Канцтовари,Рукоділля та творчість,Фарби для малювання,Акрилові фарби,,Акрилові фарби,
3462,Канцтовари,Рукоділля та творчість,Фарби для малювання,Гуашеві фарби,,Гуашеві фарби,
4891,Канцтовари,Рукоділля та творчість,Фарби для малювання,Дитячі фарби,,Дитячі фарби,
3464,Канцтовари,Рукоділля та творчість,Фарби для малювання,Олійні фарби,,Олійні фарби,
3405,Канцтовари,Рукоділля та творчість,Фетр для рукоділля,,,Фетр для рукоділля,
8942,Канцтовари,Рукоділля та творчість,Фоаміран,,,Фоаміран,
4897,Канцтовари,Товари для малювання та творчості,Аксесуари для творчості,,,Аксесуари для творчості,
4878,Канцтовари,Товари для малювання та творчості,Альбоми та папір для малювання,,,Альбоми та папір для малювання,
4876,Канцтовари,Товари для малювання та творчості,Дошки для малювання,,,Дошки для малювання,
4892,Канцтовари,Товари для малювання та творчості,Картон для творчості,,,Картон для творчості,
4919,Канцтовари,Товари для малювання та творчості,Крейда,,,Крейда,
4894,Канцтовари,Товари для малювання та творчості,Папір для творчості,,,Папір для творчості,
4904,Канцтовари,Товари для малювання та творчості,Пластилін,,,Пластилін,
4901,Канцтовари,Товари для малювання та творчості,Фломастери,,,Фломастери,
1333,Канцтовари,Шкільне приладдя,Аксесуари до рюкзаків та сумок,,,Аксесуари до рюкзаків та сумок,
814,Канцтовари,Шкільне приладдя,Барельєфні моделі,,,Барельєфні моделі,
7913,Канцтовари,Шкільне приладдя,Географічні карти,,,Географічні карти,
1877,Канцтовари,Шкільне приладдя,Глобуси,,,Глобуси,
4990,Канцтовари,Шкільне приладдя,Навчальне приладдя та набори,,,Навчальне приладдя та набори,
4875,Канцтовари,Шкільне приладдя,Обкладинки шкільні,,,Обкладинки шкільні,
4877,Канцтовари,Шкільне приладдя,Папки шкільні,,,Папки шкільні,
4874,Канцтовари,Шкільне приладдя,Пенали шкільні,,,Пенали шкільні,
9114,Канцтовари,Шкільне приладдя,Прописи,,,Прописи,
9086,Канцтовари,Шкільне приладдя,Робочі зошити,,,Робочі зошити,
4889,Канцтовари,Шкільне приладдя,Сумки для взуття,,,Сумки для взуття,
3322,Канцтовари,Шкільне приладдя,Циркулі та готовальні,,,Циркулі та готовальні,
4881,Канцтовари,Шкільне приладдя,Шкільні щоденники,,,Шкільні щоденники,
4879,Канцтовари,Шкільні зошити,,,,Шкільні зошити,
4885,Канцтовари,"Рюкзаки шкільні
",,,,"Рюкзаки шкільні
",
1916,Канцтовари,Штемпельна продукція,,,,Штемпельна продукція,
5205,Краса та здоров'я,Аксесуари для догляду,Аксесуари для волосся,Аксесуари для фарбування волосся,,Аксесуари для фарбування волосся,
6438,Краса та здоров'я,Аксесуари для догляду,Аксесуари для волосся,Бігуді,,Бігуді,
6738,Краса та здоров'я,Аксесуари для догляду,Аксесуари для волосся,Валики для волосся,,Валики для волосся,
3176,Краса та здоров'я,Аксесуари для догляду,Аксесуари для волосся,Гребінці,,Гребінці,
6812,Краса та здоров'я,Аксесуари для догляду,Аксесуари для волосся,Заколки для волосся,,Заколки для волосся,
6349,Краса та здоров'я,Аксесуари для догляду,Аксесуари для волосся,Канекалони,,Канекалони,
6434,Краса та здоров'я,Аксесуари для догляду,Аксесуари для волосся,Ножиці для стрижки,,Ножиці для стрижки,
6354,Краса та здоров'я,Аксесуари для догляду,Аксесуари для волосся,Перуки,,Перуки,
6740,Краса та здоров'я,Аксесуари для догляду,Аксесуари для волосся,Резинки для волосся,,Резинки для волосся,
9076,Краса та здоров'я,Аксесуари для догляду,Аксесуари для волосся,Шапочки для душу,,Шапочки для душу,
8815,Краса та здоров'я,Аксесуари для догляду,Аксесуари для макіяжу,Все для ламінування вій,,Все для ламінування вій,
3231,Краса та здоров'я,Аксесуари для догляду,Аксесуари для макіяжу,Накладні вії,,Накладні вії,
5425,Краса та здоров'я,Аксесуари для догляду,Аксесуари для макіяжу,Пензлики для макіяжу,,Пензлики для макіяжу,
4973,Краса та здоров'я,Аксесуари для догляду,Аксесуари для макіяжу,Пінцети,,Пінцети,
5385,Краса та здоров'я,Аксесуари для догляду,Аксесуари для макіяжу,Спонжі для макіяжу,,Спонжі для макіяжу,
6828,Краса та здоров'я,Аксесуари для догляду,Аксесуари для макіяжу,Стругачки косметичні,,Стругачки косметичні,
6700,Краса та здоров'я,Аксесуари для догляду,Аксесуари для макіяжу,Щипці для завивання вій,,Щипці для завивання вій,
4967,Краса та здоров'я,Аксесуари для догляду,Аксесуари для тіла та ванної,,,Аксесуари для тіла та ванної,
8691,Краса та здоров'я,Аксесуари для догляду,Інструменти для манікюру та педикюру,Витратні матеріали для стерилізації,,Витратні матеріали для стерилізації,
4971,Краса та здоров'я,Аксесуари для догляду,Інструменти для манікюру та педикюру,Кусачки для нігтів,,Кусачки для нігтів,
4977,Краса та здоров'я,Аксесуари для догляду,Інструменти для манікюру та педикюру,Лопатки для манікюру і педикюру,,Лопатки для манікюру і педикюру,
6733,Краса та здоров'я,Аксесуари для догляду,Інструменти для манікюру та педикюру,Манікюрні ножиці,,Манікюрні ножиці,
5105,Краса та здоров'я,Аксесуари для догляду,Інструменти для манікюру та педикюру,Набори для манікюру,,Набори для манікюру,
7703,Краса та здоров'я,Аксесуари для догляду,Інструменти для манікюру та педикюру,Накладні нігті,,Накладні нігті,
824,Краса та здоров'я,Аксесуари для догляду,Інструменти для манікюру та педикюру,Пензлики для манікюру,,Пензлики для манікюру,
4978,Краса та здоров'я,Аксесуари для догляду,Інструменти для манікюру та педикюру,Пилки та бафи для нігтів,,Пилки та бафи для нігтів,
4983,Краса та здоров'я,Аксесуари для догляду,Інструменти для манікюру та педикюру,Стерилізатори для манікюру,,Стерилізатори для манікюру,
4975,Краса та здоров'я,Аксесуари для догляду,Інструменти для манікюру та педикюру,Терки для ніг,,Терки для ніг,
8631,Краса та здоров'я,Аксесуари для догляду,Щітки для сухого масажу,,,Щітки для сухого масажу,
6763,Краса та здоров'я,Декоративна косметика,Бодіарт,,,Бодіарт,
8951,Краса та здоров'я,Декоративна косметика,Косметика для губ,Блиск для губ,,Блиск для губ,
3234,Краса та здоров'я,Декоративна косметика,Косметика для губ,Олівець для губ,,Олівець для губ,
3233,Краса та здоров'я,Декоративна косметика,Косметика для губ,Помада губна,,Помада губна,
8953,Краса та здоров'я,Декоративна косметика,Косметика для губ,Тінт для губ,,Тінт для губ,
4962,Краса та здоров'я,Декоративна косметика,Косметика для нігтів,База для гель-лаку,,База для гель-лаку,
4961,Краса та здоров'я,Декоративна косметика,Косметика для нігтів,Гель-лаки,,Гель-лаки,
3254,Краса та здоров'я,Декоративна косметика,Косметика для нігтів,Догляд за кутикулою,,Догляд за кутикулою,
3251,Краса та здоров'я,Декоративна косметика,Косметика для нігтів,Закріплювач лаку,,Закріплювач лаку,
4959,Краса та здоров'я,Декоративна косметика,Косметика для нігтів,Засоби для зміцнення нігтів,,Засоби для зміцнення нігтів,
3252,Краса та здоров'я,Декоративна косметика,Косметика для нігтів,Лак для нігтів,,Лак для нігтів,
3250,Краса та здоров'я,Декоративна косметика,Косметика для нігтів,Рідина для зняття лаку,,Рідина для зняття лаку,
3247,Краса та здоров'я,Декоративна косметика,Косметика для нігтів,Усе для дизайну нігтів,,Усе для дизайну нігтів,
3237,Краса та здоров'я,Декоративна косметика,Косметика для обличчя,База під макіяж,,База під макіяж,
3241,Краса та здоров'я,Декоративна косметика,Косметика для обличчя,Бронзери та хайлайтери,,Бронзери та хайлайтери,
3236,Краса та здоров'я,Декоративна косметика,Косметика для обличчя,Коректор та консилер,,Коректор та консилер,
3238,Краса та здоров'я,Декоративна косметика,Косметика для обличчя,Пудра для обличчя,,Пудра для обличчя,
3239,Краса та здоров'я,Декоративна косметика,Косметика для обличчя,Рум'яна,,Рум'яна,
3240,Краса та здоров'я,Декоративна косметика,Косметика для обличчя,Тональні засоби,,Тональні засоби,
3227,Краса та здоров'я,Декоративна косметика,Косметика для очей,Олівець для брів,,Олівець для брів,
3226,Краса та здоров'я,Декоративна косметика,Косметика для очей,Олівець для очей,,Олівець для очей,
3228,Краса та здоров'я,Декоративна косметика,Косметика для очей,Підводки для очей,,Підводки для очей,
3229,Краса та здоров'я,Декоративна косметика,Косметика для очей,Тіні для очей,,Тіні для очей,
3230,Краса та здоров'я,Декоративна косметика,Косметика для очей,Туш для вій,,Туш для вій,
9148,Краса та здоров'я,Декоративна косметика,Косметика для очей,Фарба для брів та вій,,Фарба для брів та вій,
8153,Краса та здоров'я,Декоративна косметика,Тимчасові татуювання,,,Тимчасові татуювання,
8311,Краса та здоров'я,Доглядова косметика,Для ванни та душу,Бомбочки для ванни,,Бомбочки для ванни,
3139,Краса та здоров'я,Доглядова косметика,Для ванни та душу,Гель для душу,,Гель для душу,
3143,Краса та здоров'я,Доглядова косметика,Для ванни та душу,Мило,,Мило,
3142,Краса та здоров'я,Доглядова косметика,Для ванни та душу,Піна для ванни,,Піна для ванни,
3141,Краса та здоров'я,Доглядова косметика,Для ванни та душу,Сіль для ванни,,Сіль для ванни,
3140,Краса та здоров'я,Доглядова косметика,Для ванни та душу,Скраб для тіла,,Скраб для тіла,
6351,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Ампули для волосся,,Ампули для волосся,
3171,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Бальзам для волосся,,Бальзам для волосся,
6526,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Засоби для укладки волосся,Гель для волосся,Гель для волосся,
3173,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Засоби для укладки волосся,Лак для волосся,Лак для волосся,
8243,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Засоби для укладки волосся,Паста для волосся,Паста для волосся,
3174,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Засоби для укладки волосся,Піна для волосся,Піна для волосся,
7189,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Кондиціонер для волосся,,Кондиціонер для волосся,
7190,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Крем для волосся,,Крем для волосся,
3172,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Маска для волосся,,Маска для волосся,
3175,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Олія для волосся,,Олія для волосся,
6306,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Сироватка для волосся,,Сироватка для волосся,
9238,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Скраби для шкіри голови,,Скраби для шкіри голови,
7135,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Спрей для волосся,,Спрей для волосся,
6617,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Сухі шампуні,,Сухі шампуні,
6638,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Термозахист для волосся,,Термозахист для волосся,
7137,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Фарбування волосся,Відтінкові засоби для волосся,Відтінкові засоби для волосся,
7138,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Фарбування волосся,Окисники для волосся,Окисники для волосся,
7139,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Фарбування волосся,Освітлювачі для волосся,Освітлювачі для волосся,
7136,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Фарбування волосся,Фарба для волосся,Фарба для волосся,
3169,Краса та здоров'я,Доглядова косметика,Догляд за волоссям,Шампунь,,Шампунь,
3183,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Бальзам для губ,,Бальзам для губ,
8957,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Гель для обличчя,,Гель для обличчя,
3181,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Гель та пінка для вмивання,,Гель та пінка для вмивання,
8947,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Гігієнічна помада,,Гігієнічна помада,
3180,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Засоби для зняття макіяжу,,Засоби для зняття макіяжу,
3182,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Засоби для шкіри навколо очей,,Засоби для шкіри навколо очей,
3179,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Крем для обличчя,,Крем для обличчя,
3184,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Маска для обличчя,,Маска для обличчя,
6574,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Патчі під очі,,Патчі під очі,
3186,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Сироватка для обличчя,,Сироватка для обличчя,
3185,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Скраб та пілінг,,Скраб та пілінг,
6540,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Термальна вода,,Термальна вода,
5056,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Тонер для обличчя,,Тонер для обличчя,
6556,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Тоніки та лосьйони,,Тоніки та лосьйони,
8954,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,Флюїди для обличчя,,Флюїди для обличчя,
6875,Краса та здоров'я,Доглядова косметика,Догляд за обличчям,"BB-, CC-креми",,"BB-, CC-креми",
3189,Краса та здоров'я,Доглядова косметика,Догляд за ротовою порожниною,Зубна паста,,Зубна паста,
7304,Краса та здоров'я,Доглядова косметика,Догляд за ротовою порожниною,Зубний порошок,,Зубний порошок,
3192,Краса та здоров'я,Доглядова косметика,Догляд за ротовою порожниною,Зубні нитки,,Зубні нитки,
3190,Краса та здоров'я,Доглядова косметика,Догляд за ротовою порожниною,Зубні щітки,,Зубні щітки,
9034,Краса та здоров'я,Доглядова косметика,Догляд за ротовою порожниною,Йоржики для зубів,,Йоржики для зубів,
3191,Краса та здоров'я,Доглядова косметика,Догляд за ротовою порожниною,Ополіскувач для ротової порожнини,,Ополіскувач для ротової порожнини,
8945,Краса та здоров'я,Доглядова косметика,Догляд за ротовою порожниною,Освіжувач для ротової порожнини,,Освіжувач для ротової порожнини,
9438,Краса та здоров'я,Доглядова косметика,Догляд за ротовою порожниною,Очищувачі язика,,Очищувачі язика,
9084,Краса та здоров'я,Доглядова косметика,Догляд за ротовою порожниною,Футляри для зубних щіток,,Футляри для зубних щіток,
3160,Краса та здоров'я,Доглядова косметика,Догляд за тілом,Дезодорант,,Дезодорант,
3162,Краса та здоров'я,Доглядова косметика,Догляд за тілом,Догляд для ніг,,Догляд для ніг,
3149,Краса та здоров'я,Доглядова косметика,Догляд за тілом,Засоби для депіляції,,Засоби для депіляції,
3157,Краса та здоров'я,Доглядова косметика,Догляд за тілом,Засоби для засмаги і захисту від сонця,,Засоби для засмаги і захисту від сонця,
6350,Краса та здоров'я,Доглядова косметика,Догляд за тілом,Косметичний парафін,,Косметичний парафін,
6529,Краса та здоров'я,Доглядова косметика,Догляд за тілом,Косметичні олії,,Косметичні олії,
3155,Краса та здоров'я,Доглядова косметика,Догляд за тілом,Креми для рук,,Креми для рук,
3161,Краса та здоров'я,Доглядова косметика,Догляд за тілом,Крем для тіла,,Крем для тіла,
8614,Краса та здоров'я,Доглядова косметика,Догляд за тілом,Масажні свічки,,Масажні свічки,
3145,Краса та здоров'я,Доглядова косметика,Догляд за тілом,Молочко і лосьйон для тіла,,Молочко і лосьйон для тіла,
7606,Краса та здоров'я,Доглядова косметика,Догляд за тілом,Спрей для тіла,,Спрей для тіла,
6727,Краса та здоров'я,Доглядова косметика,Засоби для гоління,Аксесуари для гоління,,Аксесуари для гоління,
6724,Краса та здоров'я,Доглядова косметика,Засоби для гоління,Гель для гоління,,Гель для гоління,
3219,Краса та здоров'я,Доглядова косметика,Засоби для гоління,Засоби після гоління,,Засоби після гоління,
6722,Краса та здоров'я,Доглядова косметика,Засоби для гоління,Картриджі для гоління,,Картриджі для гоління,
